priority,name,public_role,organization,city_area,source_url,source_type,confidence,suggested_outreach
1,Christian Dawson,Pastor of Worship and Gatherings,Bridgetown Church,Portland OR,https://bridgetown.church/staff,church staff page,High,"Ask for feedback on Sunday Musician as a Portland/Vancouver worship musician network; ask if he knows musicians who take sub/guest dates."
1,Kiki Edwards,Pastor of Worship,Bridgetown Church,Portland OR,https://bridgetown.church/staff,church staff page,High,"Relational worship-leader outreach; frame as building a trusted local bench rather than a gig marketplace."
2,Lily Thompson,Gatherings & Worship Coordinator,Bridgetown Church,Portland OR,https://bridgetown.church/staff,church staff page,High,"Ask about musicians who serve gatherings and may be open to occasional church support."
2,Evan Fletcher,Technical Director,Bridgetown Church,Portland OR,https://bridgetown.church/staff,church staff page,Medium,"Production/audio connection; ask for introductions to trusted worship musicians and tech volunteers."
1,Callan Brown,Worship Pastor,Door of Hope Church,Portland OR,https://doorofhopepdx.org/staff,church staff page,High,"Ask for worship-pastor feedback and whether Door of Hope musicians would want to be listed for guest/sub opportunities."
1,Chris Crenshaw,Pastor of Worship Arts,Vancouver Church,Vancouver WA,https://vancouverchurch.org/staff,church staff page,High,"Strong Vancouver-area worship leader prospect; invite into founding local church/musician network conversation."
2,John Harrel,Pastor of Technical Arts,Vancouver Church,Vancouver WA,https://vancouverchurch.org/staff,church staff page,Medium,"Technical arts contact who may know audio/production musicians and worship team members."
2,Caroline "CC" Carder,VCKIDS Worship and Activities Coordinator,Vancouver Church,Vancouver WA,https://vancouverchurch.org/staff,church staff page,Medium,"Possible worship/vocal/children's ministry music connection; ask for referrals rather than direct musician pitch."
1,Matthew Ferrer,Central Worship Director,Willamette / New Hope / Beaverton church family,Portland/West Linn/Beaverton OR,https://willamette.cc/staff,church staff page,High,"Central worship director across multi-campus church family; high-value feedback/referral conversation."
1,Jeff Jansen,Music Director,Willamette / New Hope / Beaverton church family,Portland/West Linn/Beaverton OR,https://willamette.cc/staff,church staff page,High,"Likely knows many local players; invite to recommend musicians who are reliable subs."
2,Austin Mitchell,Music Director & Production Lead,Willamette / New Hope / Beaverton church family,Portland/West Linn/Beaverton OR,https://willamette.cc/staff,church staff page,High,"Music plus production contact; ask for feedback on skill categories and referral flow."
2,Ryan Biermann,Worship Leader & Videographer,Willamette / New Hope / Beaverton church family,Portland/West Linn/Beaverton OR,https://willamette.cc/staff,church staff page,High,"Worship leader prospect; invite to join musician list if he accepts outside dates or refer peers."
2,David Sanchez,Audio/Visual Director,Willamette / New Hope / Beaverton church family,Portland/West Linn/Beaverton OR,https://willamette.cc/staff,church staff page,Medium,"Production/AV prospect; ask about trusted tech/music people for occasional church needs."
1,Josh Anderson,Worship Director,Portland Christian Center,Portland OR,https://pcctoday.com/staff/,church staff page,High,"Direct worship director prospect; invite feedback and musician referrals."
2,Tyler Bernheisel,Media and IT Manager,Portland Christian Center,Portland OR,https://pcctoday.com/staff/,church staff page,Medium,"Media/production contact; potential source for production and worship-team referrals."
2,Jessid Sanchez,Production Director,SouthLake Church,West Linn OR,https://www.southlakechurch.com/staff,church staff page,Medium,"Production director; ask about production musicians/techs and worship team referral possibilities."
1,Elijah Gundlach,Worship Director,River West Church,Lake Oswego OR,https://www.riverwest.org/team,church staff page,High,"Direct worship director prospect; ask for feedback and whether River West musicians want occasional opportunities."
2,Dylan Knight,Student Ministry Worship Coordinator,River West Church,Lake Oswego OR,https://www.riverwest.org/team,church staff page,High,"Youth/student worship pipeline contact; may know younger musicians looking for experience."
1,Jake Schwein,Pastor: Campus, Worship & Justice,Grace Chapel,Wilsonville OR,https://www.gracechapelonline.org/our-team,church staff page,High,"Direct worship ministry prospect; ask for musician-list referrals and church feedback."
2,Tucker Arnold,Pastor: Worship & Adult,Grace Chapel,Wilsonville OR,https://www.gracechapelonline.org/our-team,church staff page,High,"Direct worship pastor prospect; invite to review Sunday Musician as a church resource."
2,Coleton Myers,Creative Producer,Grace Chapel,Wilsonville OR,https://www.gracechapelonline.org/our-team,church staff page,Medium,"Creative/production contact; potential tech and musician referral source."
2,Mikiah Rupp,Creative & Justice,Grace Chapel,Wilsonville OR,https://www.gracechapelonline.org/our-team,church staff page,Medium,"Creative ministry contact; ask for local worship/creative network referrals."
1,Jon Neufeld,Pastor - Worship & Gatherings,A Jesus Church,Portland OR,https://www.ajesuschurch.org/staff,church staff page,High,"Direct worship/gatherings pastor prospect; ask for feedback and musician referrals."
1,James Molnar,Director / Contractor - Worship & Production,A Jesus Church,Portland OR,https://www.ajesuschurch.org/staff,church staff page,High,"Worship and production contractor; especially relevant for musician/production network building."
2,Josh White,Lead Pastor / musician-facing church with public Music section,Door of Hope Church,Portland OR,https://doorofhopepdx.org/staff,church staff page,Medium,"Door of Hope has public music culture; ask for intro to worship musicians through Callan/Josh rather than a cold pitch."
3,Athey Worship auditions team,Worship ministry / auditions pipeline,Athey Creek,West Linn/Hillsboro/McMinnville OR,https://atheycreek.com/ministries/athey-worship,church ministry page,Medium,"Not a named individual from page, but a strong recruiting pool; look for public audition/contact path or attend public worship events."
